column_name,data_type
id,uuid
created_at,timestamp with time zone
userId,uuid
questionId,text
bookId,uuid
chapterId,uuid
disciplineId,uuid
lastResult,text
lastAttemptDate,timestamp with time zone
attempts,bigint
timesCorrect,bigint
timesWrong,bigint
firstAttemptResult,text
note,text
hasNote,boolean
isForReview,boolean
userDifficulty,text
